Statistical profiling result from isolate-0x55af5fde7000-v8.log, (395389 ticks, 21866 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~_base /home/root/node_modules/hapi/node_modules/joi/lib/types/alternatives/index.js:26:10
      1    0.0%    0.0%  LazyCompile: ~_addListener events.js:210:22
      1    0.0%    0.0%  LazyCompile: ~Zlib._processChunk zlib.js:531:40
      1    0.0%    0.0%  LazyCompile: ~Zlib zlib.js:300:14
      1    0.0%    0.0%  LazyCompile: ~Writable.cork _stream_writable.js:251:35
      1    0.0%    0.0%  LazyCompile: ~Url url.js:13:13
      1    0.0%    0.0%  LazyCompile: ~TransformState _stream_transform.js:52:24
      1    0.0%    0.0%  LazyCompile: ~Transform._write _stream_transform.js:145:38
      1    0.0%    0.0%  LazyCompile: ~StackHas native array.js:120:18
      1    0.0%    0.0%  LazyCompile: ~SimpleMove native array.js:277:20
      1    0.0%    0.0%  LazyCompile: ~ServerResponse.writeHead _http_server.js:160:46
      1    0.0%    0.0%  LazyCompile: ~Readable.pipe _stream_readable.js:473:35
      1    0.0%    0.0%  LazyCompile: ~ReadStream.open fs.js:1957:37
      1    0.0%    0.0%  LazyCompile: ~Pattern /home/root/node_modules/yamljs/lib/Pattern.js:13:19
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._storeHeader _http_outgoing.js:192:50
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._send _http_outgoing.js:125:43
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._finish _http_outgoing.js:623:45
      1    0.0%    0.0%  LazyCompile: ~Module._load module.js:412:24
      1    0.0%    0.0%  LazyCompile: ~Module._extensions..js module.js:577:37
      1    0.0%    0.0%  LazyCompile: ~Module._compile module.js:510:37
      1    0.0%    0.0%  LazyCompile: ~Items.serial /home/root/node_modules/hapi/lib/request.js:404:51
      1    0.0%    0.0%  LazyCompile: ~InnerArrayReduce native array.js:1107:26
      1    0.0%    0.0%  LazyCompile: ~InnerArrayLastIndexOf native array.js:1059:31
      1    0.0%    0.0%  LazyCompile: ~InnerArrayForEach native array.js:935:27
      1    0.0%    0.0%  LazyCompile: ~IncomingMessage _http_incoming.js:20:25
      1    0.0%    0.0%  LazyCompile: ~ImmediateList.append timers.js:558:42
      1    0.0%    0.0%  LazyCompile: ~Hoek.once /home/root/node_modules/hapi/lib/transmit.js:252:27
      1    0.0%    0.0%  LazyCompile: ~FormData.getLength /home/root/node_modules/form-data/lib/form_data.js:363:40
      1    0.0%    0.0%  LazyCompile: ~Buffer.alloc buffer.js:121:24
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/root/node_modules/hapi/lib/connection.js:243:12
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/root/node_modules/graceful-fs/graceful-fs.js:38:41
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/root/node_modules/graceful-fs/graceful-fs.js:37:51
      1    0.0%    0.0%  LazyCompile: require internal/module.js:17:19
      1    0.0%    0.0%  LazyCompile: fs.existsSync fs.js:263:25
      1    0.0%    0.0%  LazyCompile: *resolve path.js:1152:28
      1    0.0%    0.0%  LazyCompile: *onwrite _stream_writable.js:355:17
      1    0.0%    0.0%  LazyCompile: *ondrain _http_common.js:213:17
      1    0.0%    0.0%  LazyCompile: *ok assert.js:96:12
      1    0.0%    0.0%  LazyCompile: *makeRequireFunction internal/module.js:13:29
      1    0.0%    0.0%  LazyCompile: *join native array.js:347:19
      1    0.0%    0.0%  LazyCompile: *indexOf native string.js:68:23
      1    0.0%    0.0%  LazyCompile: *has /home/root/node_modules/joi/lib/set.js:46:8
      1    0.0%    0.0%  LazyCompile: *has /home/root/node_modules/hapi/node_modules/joi/lib/set.js:46:8
      1    0.0%    0.0%  LazyCompile: *getStderr internal/process/stdio.js:21:21
      1    0.0%    0.0%  LazyCompile: *get global native regexp.js:808:25
      1    0.0%    0.0%  LazyCompile: *fs.lstatSync fs.js:1001:24
      1    0.0%    0.0%  LazyCompile: *fs.fstatSync fs.js:996:24
      1    0.0%    0.0%  LazyCompile: *exports.isRef /home/root/node_modules/hapi/node_modules/joi/lib/ref.js:40:26
      1    0.0%    0.0%  LazyCompile: *exports._unrefActive timers.js:109:32
      1    0.0%    0.0%  LazyCompile: *collection /home/root/dist/nosql-util.js:5:20
      1    0.0%    0.0%  LazyCompile: *charCodeAt native string.js:50:28
      1    0.0%    0.0%  LazyCompile: *_checkItems /home/root/node_modules/hapi/node_modules/joi/lib/types/array/index.js:98:16
      1    0.0%    0.0%  LazyCompile: *Stream internal/streams/legacy.js:6:16
      1    0.0%    0.0%  LazyCompile: *SimpleMove native array.js:277:20
      1    0.0%    0.0%  LazyCompile: *OutgoingMessage._writeRaw _http_outgoing.js:147:47
      1    0.0%    0.0%  LazyCompile: *Module.load module.js:478:33
      1    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths module.js:273:37
      1    0.0%    0.0%  LazyCompile: *Buffer.toString buffer.js:487:37
      1    0.0%    0.0%  Handler: vary {1}
      1    0.0%    0.0%  Handler: vary
      1    0.0%    0.0%  Handler: unpipe {1}
      1    0.0%    0.0%  Handler: toString {NaN}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469) {8}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469) {6}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469) {5}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469) {3}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469)
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 13635fc) {1}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 13635fc)
      1    0.0%    0.0%  Handler: symbol("Symbol.hasInstance" hash 1cb9da9b) {2}
      1    0.0%    0.0%  Handler: symbol("Symbol.hasInstance" hash 1cb9da9b)
      1    0.0%    0.0%  Handler: statusCode
      1    0.0%    0.0%  Handler: split
      1    0.0%    0.0%  Handler: read {8}
      1    0.0%    0.0%  Handler: read {7}
      1    0.0%    0.0%  Handler: read {6}
      1    0.0%    0.0%  Handler: read {5}
      1    0.0%    0.0%  Handler: read {12}
      1    0.0%    0.0%  Handler: push {2}
      1    0.0%    0.0%  Handler: push {1}
      1    0.0%    0.0%  Handler: process {1}
      1    0.0%    0.0%  Handler: process
      1    0.0%    0.0%  Handler: prefinish
      1    0.0%    0.0%  Handler: parseInt
      1    0.0%    0.0%  Handler: on {2}
      1    0.0%    0.0%  Handler: isFinite
      1    0.0%    0.0%  Handler: handle
      1    0.0%    0.0%  Handler: get
      1    0.0%    0.0%  Handler: exit
      1    0.0%    0.0%  Handler: emit {9}
      1    0.0%    0.0%  Handler: emit {8}
      1    0.0%    0.0%  Handler: emit {5}
      1    0.0%    0.0%  Handler: emit {4}
      1    0.0%    0.0%  Handler: emit {2}
      1    0.0%    0.0%  Handler: emit {1}
      1    0.0%    0.0%  Handler: emit {11}
      1    0.0%    0.0%  Handler: emit
      1    0.0%    0.0%  Handler: decodeURIComponent
      1    0.0%    0.0%  Handler: copy
      1    0.0%    0.0%  Handler: concat
      1    0.0%    0.0%  Handler: compare {7}
      1    0.0%    0.0%  Handler: compare {4}
      1    0.0%    0.0%  Handler: compare {3}
      1    0.0%    0.0%  Handler: compare {14}
      1    0.0%    0.0%  Handler: compare {13}
      1    0.0%    0.0%  Handler: compare {11}
      1    0.0%    0.0%  Handler: compare {10}
      1    0.0%    0.0%  Handler: compare
      1    0.0%    0.0%  Handler: chunk
      1    0.0%    0.0%  Handler: charCodeAt {1}
      1    0.0%    0.0%  Handler: charCodeAt
      1    0.0%    0.0%  Handler: callback {2}
      1    0.0%    0.0%  Handler: call {5}
      1    0.0%    0.0%  Handler: call {4}
      1    0.0%    0.0%  Handler: call {2}
      1    0.0%    0.0%  Handler: call {1}
      1    0.0%    0.0%  Handler: bufferedRequest
      1    0.0%    0.0%  Handler: _set
      1    0.0%    0.0%  Handler: _readableState {1}
      1    0.0%    0.0%  Handler: _read {1}
      1    0.0%    0.0%  Handler: _onAbort
      1    0.0%    0.0%  Handler: _flush
      1    0.0%    0.0%  Handler: _events {2}
      1    0.0%    0.0%  Handler: _emit
      1    0.0%    0.0%  Handler: _dumped
      1    0.0%    0.0%  Handler: _data
      1    0.0%    0.0%  Handler: _addHeaderLine
      1    0.0%    0.0%  Handler: Object
      1    0.0%    0.0%  Handler: Array
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {9}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {8}
      1    0.0%    0.0%  Function: ~<anonymous> /home/root/node_modules/validator/lib/isPostalCode.js:1:11
      1    0.0%    0.0%  Function: ~<anonymous> /home/root/node_modules/glob/common.js:1:11
      1    0.0%    0.0%  Builtin: MakeQuadragenarianCodeYoungAgainEvenMarking
      1    0.0%    0.0%  Builtin: ArrayBufferConstructor_ConstructStub
      1    0.0%    0.0%  Builtin: Apply

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
  77409   19.6%   78.0%  JavaScript
      0    0.0%    0.0%  C++
   4199    1.1%    4.2%  GC
  296114   74.9%          Shared libraries
  21866    5.5%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
  272146   68.8%  /usr/local/bin/node
  255915   94.0%    /usr/local/bin/node
  150509   58.8%      LazyCompile: *parse native json.js:61:19
  142276   94.5%        LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
  142275  100.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
  118911   83.6%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
  19645   13.8%            LazyCompile: *Readable.push _stream_readable.js:123:35
   2886    2.0%            LazyCompile: ~emit events.js:136:44
   7073    4.7%        LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
   7052   99.7%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   3707   52.6%            LazyCompile: ~emitOne events.js:94:17
   1324   18.8%            LazyCompile: ~emit events.js:136:44
   1065   15.1%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
    792   11.2%            Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {23}
    164    2.3%            LazyCompile: ~ReadStream._read fs.js:1975:38
  75168   29.4%      LazyCompile: *CreateDataProperty native json.js:28:28
  75168  100.0%        LazyCompile: *InternalizeJSONProperty native json.js:32:33
  51658   68.7%          LazyCompile: *parse native json.js:61:19
  48775   94.4%            LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
   2463    4.8%            LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
  23510   31.3%          LazyCompile: *InternalizeJSONProperty native json.js:32:33
  23510  100.0%            LazyCompile: *parse native json.js:61:19
   9088    3.6%      LazyCompile: *InternalizeJSONProperty native json.js:32:33
   5300   58.3%        LazyCompile: *parse native json.js:61:19
   5054   95.4%          LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
   5054  100.0%            LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
    214    4.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
    214  100.0%            LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   3788   41.7%        LazyCompile: *InternalizeJSONProperty native json.js:32:33
   3787  100.0%          LazyCompile: *parse native json.js:61:19
   3561   94.0%            LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
    202    5.3%            LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
   5602    2.2%      LazyCompile: *fs.read fs.js:646:19
   4750   84.8%        LazyCompile: ~ReadStream._read fs.js:1975:38
   4605   96.9%          LazyCompile: *Readable.read _stream_readable.js:271:35
   4524   98.2%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
    125    2.6%          LazyCompile: ~Readable.read _stream_readable.js:271:35
     73   58.4%            LazyCompile: ~readableAddChunk _stream_readable.js:147:26
     48   38.4%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
      4    3.2%            LazyCompile: *Readable.push _stream_readable.js:123:35
    732   13.1%        LazyCompile: *ReadStream._read fs.js:1975:38
    693   94.7%          LazyCompile: *Readable.read _stream_readable.js:271:35
    588   84.8%            LazyCompile: *Readable.push _stream_readable.js:123:35
     93   13.4%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
     27    3.7%          Handler: view
     27  100.0%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
    120    2.1%        Handler: onPodiumError
    120  100.0%          LazyCompile: *readableAddChunk _stream_readable.js:147:26
    120  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
   7233    2.7%    LazyCompile: *slowToString buffer.js:420:22
   7233  100.0%      LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   5823   80.5%        LazyCompile: *readableAddChunk _stream_readable.js:147:26
   5823  100.0%          LazyCompile: *Readable.push _stream_readable.js:123:35
   5823  100.0%            LazyCompile: ~onread fs.js:2013:18
    948   13.1%        LazyCompile: *Readable.push _stream_readable.js:123:35
    948  100.0%          LazyCompile: ~onread fs.js:2013:18
    948  100.0%            LazyCompile: ~wrapper fs.js:681:19
    216    3.0%        LazyCompile: ~emit events.js:136:44
    111   51.4%          LazyCompile: *readableAddChunk _stream_readable.js:147:26
    111  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
     46   21.3%          LazyCompile: ~readableAddChunk _stream_readable.js:147:26
     46  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
     38   17.6%          LazyCompile: *Readable.push _stream_readable.js:123:35
     38  100.0%            LazyCompile: ~onread fs.js:2013:18
     21    9.7%          Handler: finish
     21  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
    160    2.2%        LazyCompile: ~emitOne events.js:94:17
    160  100.0%          LazyCompile: ~emit events.js:136:44
    147   91.9%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
     13    8.1%            LazyCompile: ~readableAddChunk _stream_readable.js:147:26

  22405    5.7%  /lib/ld-musl-x86_64.so.1
  11744   52.4%    /usr/local/bin/node
  10088   85.9%      LazyCompile: *parse native json.js:61:19
   9530   94.5%        LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
   9528  100.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   7978   83.7%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
   1303   13.7%            LazyCompile: *Readable.push _stream_readable.js:123:35
    197    2.1%            LazyCompile: ~emit events.js:136:44
    497    4.9%        LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
    496   99.8%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
    273   55.0%            LazyCompile: ~emitOne events.js:94:17
     80   16.1%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
     75   15.1%            LazyCompile: ~emit events.js:136:44
     54   10.9%            Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {23}
     14    2.8%            LazyCompile: ~ReadStream._read fs.js:1975:38
    376    3.2%      LazyCompile: *Uint8ArrayConstructByLength native typedarray.js:184:37
    376  100.0%        LazyCompile: *Uint8Array native typedarray.js:241:31
    376  100.0%          LazyCompile: *FastBuffer buffer.js:10:14
    376  100.0%            LazyCompile: createUnsafeBuffer buffer.js:35:28
    242    2.1%      LazyCompile: ~<anonymous> /home/root/node_modules/nosql/utils.js:611:26
    242  100.0%        LazyCompile: *_shellInsertionSort /home/root/node_modules/nosql/utils.js:768:29
    242  100.0%          LazyCompile: ~shellsort /home/root/node_modules/nosql/utils.js:781:19
    242  100.0%            LazyCompile: ~Array.quicksort.Array.orderBy /home/root/node_modules/nosql/utils.js:569:63
   1968    8.8%    LazyCompile: *bidirectionalIndexOf buffer.js:579:30
   1967   99.9%      LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   1582   80.4%        LazyCompile: *readableAddChunk _stream_readable.js:147:26
   1582  100.0%          LazyCompile: *Readable.push _stream_readable.js:123:35
   1582  100.0%            LazyCompile: ~onread fs.js:2013:18
    259   13.2%        LazyCompile: *Readable.push _stream_readable.js:123:35
    259  100.0%          LazyCompile: ~onread fs.js:2013:18
    259  100.0%            LazyCompile: ~wrapper fs.js:681:19
     55    2.8%        LazyCompile: ~emit events.js:136:44
     29   52.7%          LazyCompile: *readableAddChunk _stream_readable.js:147:26
     29  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
     16   29.1%          LazyCompile: ~readableAddChunk _stream_readable.js:147:26
     16  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
     10   18.2%          LazyCompile: *Readable.push _stream_readable.js:123:35
     10  100.0%            LazyCompile: ~onread fs.js:2013:18
     50    2.5%        LazyCompile: ~emitOne events.js:94:17
     50  100.0%          LazyCompile: ~emit events.js:136:44
     47   94.0%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
      3    6.0%            LazyCompile: ~readableAddChunk _stream_readable.js:147:26
   1370    6.1%    LazyCompile: *Buffer.concat buffer.js:293:25
   1370  100.0%      LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   1184   86.4%        LazyCompile: *readableAddChunk _stream_readable.js:147:26
   1184  100.0%          LazyCompile: *Readable.push _stream_readable.js:123:35
   1184  100.0%            LazyCompile: ~onread fs.js:2013:18
    161   11.8%        LazyCompile: *Readable.push _stream_readable.js:123:35
    161  100.0%          LazyCompile: ~onread fs.js:2013:18
    161  100.0%            LazyCompile: ~wrapper fs.js:681:19
   1355    6.0%    LazyCompile: *slowToString buffer.js:420:22
   1355  100.0%      LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   1099   81.1%        LazyCompile: *readableAddChunk _stream_readable.js:147:26
   1099  100.0%          LazyCompile: *Readable.push _stream_readable.js:123:35
   1099  100.0%            LazyCompile: ~onread fs.js:2013:18
    170   12.5%        LazyCompile: *Readable.push _stream_readable.js:123:35
    170  100.0%          LazyCompile: ~onread fs.js:2013:18
    170  100.0%            LazyCompile: ~wrapper fs.js:681:19
     46    3.4%        LazyCompile: ~emit events.js:136:44
     23   50.0%          LazyCompile: *readableAddChunk _stream_readable.js:147:26
     23  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
     14   30.4%          LazyCompile: ~readableAddChunk _stream_readable.js:147:26
     14  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35
      8   17.4%          LazyCompile: *Readable.push _stream_readable.js:123:35
      8  100.0%            LazyCompile: ~onread fs.js:2013:18
      1    2.2%          Handler: finish
      1  100.0%            LazyCompile: *Readable.push _stream_readable.js:123:35

  21866    5.5%  UNKNOWN

  12156    3.1%  KeyedLoadIC: A keyed load IC from the snapshot
   7936   65.3%    LazyCompile: *InternalizeJSONProperty native json.js:32:33
   7147   90.1%      LazyCompile: *InternalizeJSONProperty native json.js:32:33
   4701   65.8%        LazyCompile: *parse native json.js:61:19
   4441   94.5%          LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
   4441  100.0%            LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
    233    5.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
    232   99.6%            LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   2446   34.2%        LazyCompile: *InternalizeJSONProperty native json.js:32:33
   2445  100.0%          LazyCompile: *parse native json.js:61:19
   2338   95.6%            LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
     95    3.9%            LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
    789    9.9%      LazyCompile: *parse native json.js:61:19
    744   94.3%        LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
    744  100.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
    610   82.0%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
    116   15.6%            LazyCompile: *Readable.push _stream_readable.js:123:35
     15    2.0%            LazyCompile: ~emit events.js:136:44
     39    4.9%        LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
     39  100.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
     19   48.7%            LazyCompile: ~emitOne events.js:94:17
      7   17.9%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
      6   15.4%            LazyCompile: ~emit events.js:136:44
      5   12.8%            Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {23}
      2    5.1%            LazyCompile: ~ReadStream._read fs.js:1975:38
   2445   20.1%    LazyCompile: ~<anonymous> /home/root/node_modules/nosql/utils.js:611:26
   2445  100.0%      LazyCompile: *_shellInsertionSort /home/root/node_modules/nosql/utils.js:768:29
   2445  100.0%        LazyCompile: ~shellsort /home/root/node_modules/nosql/utils.js:781:19
   2445  100.0%          LazyCompile: ~Array.quicksort.Array.orderBy /home/root/node_modules/nosql/utils.js:569:63
   2445  100.0%            LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:774:26
   1211   10.0%    LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:611:26
   1211  100.0%      LazyCompile: *_shellInsertionSort /home/root/node_modules/nosql/utils.js:768:29
   1211  100.0%        LazyCompile: ~shellsort /home/root/node_modules/nosql/utils.js:781:19
   1211  100.0%          LazyCompile: ~Array.quicksort.Array.orderBy /home/root/node_modules/nosql/utils.js:569:63
   1211  100.0%            LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:774:26
    303    2.5%    LazyCompile: *compare_eq /home/root/node_modules/nosql/index.js:2492:20
    291   96.0%      LazyCompile: ~DatabaseBuilder.compare /home/root/node_modules/nosql/index.js:1437:45
    291  100.0%        LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
    291  100.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
    255   87.6%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
     33   11.3%            LazyCompile: *Readable.push _stream_readable.js:123:35
     12    4.0%      LazyCompile: *DatabaseBuilder.compare /home/root/node_modules/nosql/index.js:1437:45
      9   75.0%        LazyCompile: *<anonymous> /home/root/node_modules/nosql/index.js:713:62
      9  100.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
      3   33.3%            LazyCompile: ~emitOne events.js:94:17
      3   33.3%            LazyCompile: *readableAddChunk _stream_readable.js:147:26
      2   22.2%            Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {23}
      1   11.1%            LazyCompile: ~emit events.js:136:44
      3   25.0%        LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
      3  100.0%          LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
      3  100.0%            LazyCompile: *readableAddChunk _stream_readable.js:147:26

