Statistical profiling result from isolate-0x55af5fde7000-v8.log, (395389 ticks, 21866 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     41    0.0%    0.0%  LazyCompile: *StringReplaceGlobalRegExpWithFunction native regexp.js:460:47
     41    0.0%    0.0%  Handler: length {1}
     41    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
     40    0.0%    0.0%  Handler: Math
     39    0.0%    0.0%  LazyCompile: *DatabaseBuilder.compare /home/root/node_modules/nosql/index.js:1437:45
     37    0.0%    0.0%  Stub: LoadConstantStub
     37    0.0%    0.0%  LazyCompile: *[Symbol.replace] native regexp.js:659:31
     35    0.0%    0.0%  Stub: FastNewClosureStub {3}
     35    0.0%    0.0%  LazyCompile: *substring native string.js:298:25
     35    0.0%    0.0%  LazyCompile: *fs.read fs.js:646:19
     32    0.0%    0.0%  LazyCompile: *Uint8ArrayConstructByLength native typedarray.js:184:37
     32    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline
     28    0.0%    0.0%  Stub: CallConstructStub
     28    0.0%    0.0%  LazyCompile: *set domain.js:25:16
     27    0.0%    0.0%  Builtin: FunctionHasInstance
     26    0.0%    0.0%  LazyCompile: *toString native string.js:30:24
     26    0.0%    0.0%  Handler: An IC handler from the snapshot {12}
     24    0.0%    0.0%  RegExp: [^\\u0000-\\u007e]
     23    0.0%    0.0%  Stub: FastNewStrictArgumentsStub
     22    0.0%    0.0%  Stub: FastNewContextStub {2}
     22    0.0%    0.0%  Handler: push {3}
     21    0.0%    0.0%  Handler: compare {16}
     20    0.0%    0.0%  LazyCompile: ~emitPendingUnhandledRejections internal/process/promises.js:58:42
     20    0.0%    0.0%  Builtin: JSEntryTrampoline
     20    0.0%    0.0%  Builtin: InterruptCheck
     19    0.0%    0.0%  Stub: StoreFastElementStub
     18    0.0%    0.0%  Stub: TypeofStub
     18    0.0%    0.0%  Stub: LoadConstantStub {3}
     18    0.0%    0.0%  LazyCompile: *[Symbol.replace] native regexp.js:540:23
     16    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
     16    0.0%    0.0%  LazyCompile: *ReadStream._read fs.js:1975:38
     15    0.0%    0.0%  Stub: RecordWriteStub {13}
     15    0.0%    0.0%  LazyCompile: *replace native string.js:132:23
     14    0.0%    0.0%  Stub: RecordWriteStub {11}
     14    0.0%    0.0%  Stub: LoadConstantStub {4}
     14    0.0%    0.0%  Handler: compare {8}
     13    0.0%    0.0%  Stub: RecordWriteStub {4}
     13    0.0%    0.0%  LazyCompile: *allocNewPool fs.js:1886:22
     13    0.0%    0.0%  Handler: slice
     12    0.0%    0.0%  Stub: LoadConstantStub {5}
     12    0.0%    0.0%  LazyCompile: ~_base /home/root/node_modules/hapi/node_modules/joi/lib/types/object/index.js:29:10
     11    0.0%    0.0%  Stub: CompareICStub {6}
     11    0.0%    0.0%  Stub: AllocateInNewSpaceStub
     11    0.0%    0.0%  LazyCompile: *localeCompare native i18n.js:1222:39
     11    0.0%    0.0%  LazyCompile: *cachedOrNewService native i18n.js:1212:28
     11    0.0%    0.0%  LazyCompile: *String.removeDiacritics /home/root/node_modules/nosql/utils.js:653:45
     10    0.0%    0.0%  Stub: StoreFieldStub {3}
     10    0.0%    0.0%  Stub: RecordWriteStub {10}
     10    0.0%    0.0%  Stub: LoadFieldStub {10}
     10    0.0%    0.0%  LazyCompile: ~[Symbol.replace] native regexp.js:659:31
     10    0.0%    0.0%  LazyCompile: *emitPendingUnhandledRejections internal/process/promises.js:58:42
     10    0.0%    0.0%  LazyCompile: *Readable.push _stream_readable.js:123:35
     10    0.0%    0.0%  Handler: push {4}
     10    0.0%    0.0%  Handler: on
     10    0.0%    0.0%  Builtin: JSConstructStubApi
      9    0.0%    0.0%  Stub: ToIntegerStub
      9    0.0%    0.0%  Stub: KeyedLoadICStub
      9    0.0%    0.0%  LazyCompile: *normalizeStringPosix path.js:85:30
      9    0.0%    0.0%  LazyCompile: *maybeReadMore_ _stream_readable.js:450:24
      9    0.0%    0.0%  LazyCompile: *get length native typedarray.js:1518:29
      9    0.0%    0.0%  LazyCompile: *compare native i18n.js:637:17
      9    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      8    0.0%    0.0%  Stub: ToBooleanICStub(Null)
      8    0.0%    0.0%  Stub: StoreFieldStub {6}
      8    0.0%    0.0%  LazyCompile: ~dirname path.js:1344:28
      8    0.0%    0.0%  LazyCompile: *needMoreData _stream_readable.js:208:22
      8    0.0%    0.0%  Handler: localeCompare
      7    0.0%    0.0%  Stub: ToBooleanICStub {2}
      7    0.0%    0.0%  Stub: StoreTransitionStub {1}
      7    0.0%    0.0%  Stub: CompareICStub {7}
      7    0.0%    0.0%  Stub: CEntryStub {1}
      7    0.0%    0.0%  Stub: BinaryOpICStub {4}
      7    0.0%    0.0%  LazyCompile: ~slowToString buffer.js:420:22
      7    0.0%    0.0%  LazyCompile: ~finish /home/root/node_modules/hapi/node_modules/joi/lib/types/any/index.js:487:24
      7    0.0%    0.0%  LazyCompile: ~Module._resolveLookupPaths module.js:314:38
      7    0.0%    0.0%  LazyCompile: *parseInt native v8natives.js:36:24
      7    0.0%    0.0%  LazyCompile: *howMuchToRead _stream_readable.js:245:23
      7    0.0%    0.0%  LazyCompile: *get native collection.js:239:16
      7    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469) {7}
      7    0.0%    0.0%  Handler: substring
      6    0.0%    0.0%  Stub: ToBooleanStub
      6    0.0%    0.0%  Stub: ToBooleanICStub
      6    0.0%    0.0%  Stub: StoreTransitionStub {2}
      6    0.0%    0.0%  Stub: CallICStub(args(6), NOT_NULL_OR_UNDEFINED, 
      6    0.0%    0.0%  LazyCompile: ~readableAddChunk _stream_readable.js:147:26
      6    0.0%    0.0%  LazyCompile: ~exports.clone /home/root/node_modules/hoek/lib/index.js:18:26
      6    0.0%    0.0%  LazyCompile: ~_validate /home/root/node_modules/hapi/node_modules/joi/lib/types/any/index.js:474:14
      6    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:661:42
      6    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:271:35
      6    0.0%    0.0%  LazyCompile: ~OutgoingMessage.write _http_outgoing.js:438:43
      6    0.0%    0.0%  LazyCompile: createUnsafeBuffer buffer.js:35:28
      6    0.0%    0.0%  Handler: read {1}
      6    0.0%    0.0%  Handler: compare {15}
      6    0.0%    0.0%  Function: ~<anonymous> /home/root/node_modules/request/index.js:1:11
      5    0.0%    0.0%  Stub: StoreFieldStub {7}
      5    0.0%    0.0%  Stub: LoadFieldStub {6}
      5    0.0%    0.0%  Stub: LoadConstantStub {6}
      5    0.0%    0.0%  LazyCompile: *get domain.js:22:16
      5    0.0%    0.0%  Handler: removeDiacritics
      5    0.0%    0.0%  Handler: compare {6}
      5    0.0%    0.0%  Builtin: StringConstructor
      5    0.0%    0.0%  Builtin: HandleApiCall
      4    0.0%    0.0%  Stub: LoadFieldStub {7}
      4    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469) {11}
      4    0.0%    0.0%  Handler: symbol("hash_code_symbol" hash 3782fd79)
      4    0.0%    0.0%  Handler: read {11}
      4    0.0%    0.0%  Builtin: MathMin
      3    0.0%    0.0%  Stub: StringAddStub_CheckNone_NotTenured
      3    0.0%    0.0%  Stub: StoreFieldStub {5}
      3    0.0%    0.0%  Stub: StoreFieldStub
      3    0.0%    0.0%  Stub: RegExpExecStub
      3    0.0%    0.0%  Stub: RecordWriteStub {21}
      3    0.0%    0.0%  Stub: LoadFieldStub {2}
      3    0.0%    0.0%  Stub: LoadConstantStub {2}
      3    0.0%    0.0%  Stub: FastNewContextStub
      3    0.0%    0.0%  Stub: CompareICStub {4}
      3    0.0%    0.0%  LazyCompile: ~once events.js:299:44
      3    0.0%    0.0%  LazyCompile: ~internals.Route.rebuild /home/root/node_modules/hapi/lib/route.js:201:46
      3    0.0%    0.0%  LazyCompile: ~extname path.js:1451:28
      3    0.0%    0.0%  LazyCompile: ~exports.applyToDefaultsWithShallow /home/root/node_modules/hoek/lib/index.js:231:47
      3    0.0%    0.0%  LazyCompile: ~emit events.js:136:44
      3    0.0%    0.0%  LazyCompile: ~clearBuffer _stream_writable.js:402:21
      3    0.0%    0.0%  LazyCompile: ~Module._findPath module.js:151:28
      3    0.0%    0.0%  LazyCompile: ~Buffer.concat buffer.js:293:25
      3    0.0%    0.0%  LazyCompile: *slice native string.js:246:21
      3    0.0%    0.0%  LazyCompile: *set native collection.js:252:16
      3    0.0%    0.0%  LazyCompile: *realpathSync fs.js:1614:40
      3    0.0%    0.0%  Handler: unicode
      3    0.0%    0.0%  Handler: requireds
      3    0.0%    0.0%  Handler: read {4}
      3    0.0%    0.0%  Handler: read {2}
      3    0.0%    0.0%  Handler: emit {6}
      3    0.0%    0.0%  Handler: call
      3    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
      3    0.0%    0.0%  Handler: An IC handler from the snapshot {14}
      3    0.0%    0.0%  Builtin: FunctionPrototypeCall
      3    0.0%    0.0%  Builtin: ArraySplice
      2    0.0%    0.0%  Stub: ToBooleanICStub(Null,SpecObject)
      2    0.0%    0.0%  Stub: StoreTransitionStub
      2    0.0%    0.0%  Stub: StoreFieldStub {1}
      2    0.0%    0.0%  Stub: RecordWriteStub {2}
      2    0.0%    0.0%  Stub: RecordWriteStub {17}
      2    0.0%    0.0%  Stub: RecordWriteStub {15}
      2    0.0%    0.0%  Stub: RecordWriteStub {14}
      2    0.0%    0.0%  Stub: LoadFieldStub
      2    0.0%    0.0%  Stub: FastNewContextStub {1}
      2    0.0%    0.0%  Stub: FastNewClosureStub {2}
      2    0.0%    0.0%  Stub: FastCloneShallowObjectStub
      2    0.0%    0.0%  Stub: FastCloneShallowArrayStub
